"問題番号","問題","解答"
維持課題01-01,１）○○○○型の合理的な維持管理,予防保全
維持課題01-02,「○○公共団体」では、高度経済成長期に建設された多くの社会インフラが耐用年数を超え、河川管理施設では、○万○千施設あり、○○年後にはその○割が50年を経過する。,地方/2/8/20/6
維持課題01-03,「地方公共団体」では、○○経済成長期に建設された多くの社会インフラが耐用年数を超え、河川管理施設では、2万8千施設あり、20年後にはその6割が○○年を経過する。,高度/50
維持課題01-04,「○○化」に伴う破損や性能低下により現在の要求性能を満たしていない構造物に対し、各インフラ管理者は、点検・修繕・「○○」を進めているものの大量なインフラへの対応が追いついていない。,老朽/更新
維持課題01-05,「老朽化」に伴う○○や性能低下により現在の要求性能を満たしていない構造物に対し、各○○管理者は、点検・修繕・「更新」を進めているものの大量なインフラへの対応が追いついていない。,破損/インフラ
維持課題01-06,従って、○○・モノ・カネの限られたリソースを最適化し、合理性を追求する維持管理技術高度化の観点から、「○○技術」を駆使した合理的な維持管理が課題である。,ヒト/新
維持課題01-07,従って、ヒト・モノ・カネの限られた○○を最適化し、○○を追求する維持管理技術高度化の観点から、「新技術」を駆使した合理的な維持管理が課題である。,リソース/合理性
維持施策01-08,施策①：データ統合基盤の構築と○○○活用,CPS
維持施策01-09,○○公共団体が管理する様々なインフラデータは、様々な○○、分散されており、統合環境を構築することにより○○を行う。,地方/形式/集積
維持施策01-10,地方公共団体が管理する様々なインフラデータは、様々な形式、○○されており、統合環境を構築することにより集積を行う。,分散
維持施策01-11,集積データは、○○を利用したETLプロセスにより正規化し、データ利用性を高める。,AI
維持施策01-12,集積データは、AIを利用した○○プロセスにより○○化し、データ利用性を高める。,ETL/正規
維持施策01-13,この既存インフラの多階層データから○○基盤を構築し、○○ツインプラットフォームを整備する。,CPS/デジタル
維持施策01-14,この既存インフラの○○層データからCPS基盤を構築し、デジタルツインプラットフォームを整備する。,多階
維持施策01-15,基盤上では、データ駆動型の○○レーションを実施し、施設の○○合やグリーンインフラの最適配置を検証し、自然災害や経年劣化等の複合的な不確実性リスクの影響評価を行う。,シミュ/統廃
維持施策01-16,基盤上では、データ駆動型のシミュレーションを実施し、施設の統廃合や○○ンフラの最適配置を検証し、自然災害や経年劣化等の複合的な不確実性リスクの○○評価を行う。,グリー/影響
維持施策01-17,これにより、インフラ管理の○○性・強靭性を実現することで、アセットマネジメントの高度化を支援する。,効率
維持施策01-18,これにより、○○管理の効率性・強靭性を実現することで、アセットマネジメントの高度化を支援する。,インフラ
維持課題02-01,２）予測モデルの○○○○○○○化,ダウンスケール化
維持課題02-02,切迫する○○トラフや首都直下地震などの巨大地震、気候変動に伴う気象災害の激甚化・頻発化により、災害リスクは年々高まっている。,南海
維持課題02-03,切迫する南海トラフや○○直下地震などの巨大地震、気候変動に伴う気象災害の激甚化・頻発化により、災害リスクは年々高まっている。,首都
維持課題02-04,インフラの持続的な維持管理を実現するには、地域特性・○○・短時間な要素による高精度な予測による「予防的処置」が不可欠である。,局所
維持課題02-05,インフラの持続的な維持管理を実現するには、地域特性・局所・短時間な要素による高精度な予測による「○○的処置」が不可欠である。,予防
維持課題02-06,社会基盤高度化の○○より、従来予測を超える災害予測モデルのダウンスケール化が課題である。,観点
維持課題02-07,社会基盤高度化の観点より、従来予測を超える災害予測○○のダウンスケール化が課題である。,モデル
維持施策02-01,施策②：○○○○○○・ICTの活用,リモートセンシング
維持施策02-02,ドローンや干渉○○、LiDARなどのリモートセンシングや雨量レーダー、光ファイバー、GPS、無線技術によるIoT機器によるインフラの常時監視を進める。,SAR
維持施策02-03,ドローンや干渉SAR、○○ARなどのリモートセンシングや雨量レーダー、光ファイバー、GPS、無線技術によるIoT機器によるインフラの常時監視を進める。,LiD
維持施策02-04,データは統合環境に集積し、平常時との微細な○○や複合リスクを高精度に予測する。,差異
維持施策02-05,データは○○環境に集積し、平常時との微細な差異や複合リスクを高精度に予測する。,統合
維持施策02-06,また、シミュレーション予測と現実のフィードバックを蓄積することで、予測精度の向上を図り、インフラ全体の分析に応用し、「予防的処置」の効率的な運用○○に資するものである。,計画
維持施策02-07,また、○○レーション予測と現実のフィードバックを蓄積することで、予測精度の向上を図り、インフラ全体の分析に応用し、「予防的処置」の効率的な運用計画に資するものである。,シミュ
維持施策02-08,これらの取組みは、現場作業の負担軽減と安全性の確保に繋がり、熟練技術者は○○継承にシフト可能となる。,技術
維持施策02-09,これらの取組みは、○○作業の負担軽減と安全性の確保に繋がり、熟練技術者は技術継承にシフト可能となる。,現場
維持施策02-10,これにより、ICT・AI技術への過信・依存を避け、技術者の成長を促す○○づくりも重視する。,土壌
維持施策03-01,これにより、○○・AI技術への過信・依存を避け、技術者の成長を促す土壌づくりも重視する。,ICT
維持課題03-01,３）自然と社会基盤の融合による持続可能なインフラモデルの構築,
維持課題03-02,気候変動による災害の激甚化により、既存インフラの能力を○○するリスクが高まっている。,超過
維持課題03-03,気候変動による災害の○○化により、既存インフラの能力を超えるリスクが高まっている。,激甚
維持課題03-04,人口減少や財政制約の中で都市機能を維持し、環境負荷を低減するためには、自然の力を活用した○○・減災とカーボンニュートラルの両立が不可欠である。,防災
